stop_code,stop_url,stop_lat,stop_timezone,preferred,stop_desc,stop_id,parent_station,stop_name,stop_lon,location_type,wheelchair_boarding,zone_id
2501,,44.107337,,2,,2501,,Simcoe Southbound @ Balsam,-78.94889,0,1,
2503,,44.099916,,2,,2503,,Scugog  Westbound @ Simcoe,-78.945102,0,2,
2505,,44.09877,,2,,2505,,Scugog Westbound @ Ottawa,-78.950789,0,1,
2506,,44.097862,,2,,2506,,Scugog Westbound @ Old Simcoe,-78.955178,0,2,
2509,,44.09774800000001,,2,,2509,,Scugog Eastbound @ Old Simcoe,-78.955305,0,2,
2510,,44.098585,,2,,2510,,Scugog Eastbound @ Ottawa,-78.951258,0,2,
2512,,44.099892,,2,,2512,,Scugog Eastbound @ Simcoe,-78.944804,0,2,
2514,,44.107457,,2,,2514,,Simcoe Northbound @ Balsam,-78.948792,0,2,
2515,,44.110223,,2,,2515,,Simcoe Northbound @ Beech,-78.95,0,2,
2516,,44.096969,,2,,2516,,Old Simcoe Southbound @ Scugog Street,-78.95578399999998,0,2,
2517,,44.093814,,2,,2517,,Old Simcoe Southbound @ Victoria,-78.955567,0,2,
2549,,43.831147,,1,,2549,,Pickering Station,-79.084237,0,1,
255,,43.89454,,2,,255,,Anderson Southbound @ Manning,-78.927052,0,1,
256,,43.892471,,2,,256,,Anderson Southbound @ Maplewood,-78.926119,0,1,
2569,,43.847679,,1,,2569,,Ajax Station,-79.041346,0,1,
257,,43.890386,,2,,257,,Anderson Southbound @ Bradley,-78.925223,0,1,
2574,,43.846447,,2,,2574,,Fairall Eastbound @ Westney (West side stop),-79.039484,0,1,
2576,,43.865496,,1,,2576,,Whitby Station,-78.93794,0,1,
258,,43.886829,,2,,258,,Anderson Southbound @ Crawforth,-78.923657,0,1,
2585,,43.87066200000001,,2,,2585,,Oshawa Station,-78.886365,0,1,
259,,43.8851472,,2,,259,,Anderson Southbound @ Dundas,-78.9229176,0,2,
2595,,43.88916900000001,,2,,2595,,Oshawa Centre Terminal,-78.877279,0,1,
260,,43.867601,,2,,260,,Consumers Eastbound @ Paisley,-78.93573499999998,0,2,
2603,,43.89714,,1,,2603,,King Eastbound @ Centre,-78.86528199999998,0,2,
2604,,43.89014370000001,,2,,2604,,Gibb Westbound @ Centre,-78.8622203,0,1,
261,,43.867911,,2,,261,,Eastbound @ 187 Consumers,-78.93228,0,1,
262,,43.86729177,,1,,262,,Westbound @ 1716 Victoria,-78.900295,0,1,
265,,43.86166688,,2,,265,,Wentworth Westbound @ Boundary (West side stop),-78.88778,0,2,
266,,43.860563,,2,,266,,Wentworth Westbound @ Forbes,-78.89276099999998,0,2,
267,,43.859508,,2,,267,,Wentworth Westbound @ Scotia,-78.897536,0,2,
268,,43.859,,2,,268,,Thickson Northbound @ Wentworth,-78.9007,0,1,
269,,43.86266,,2,,269,,Thickson Northbound @ Tricont,-78.902289,0,2,
270,,43.865547,,2,,270,,Thickson Northbound @ Victoria,-78.903392,0,2,
2704,,43.908291,,1,,2704,,Taunton Westbound @ Coronation,-78.987629,0,2,
2705,,43.908217,,1,,2705,,Taunton Eastbound @ Coronation,-78.986958,0,2,
2707,,43.910014,,1,,2707,,Taunton Westbound @ Baycliff,-78.980509,0,2,
2708,,43.89974380000001,,2,,2708,,Taunton Westbound @ Gillett,-79.0239972,0,2,
2709,,43.882318,,2,,2709,,Bloor Eastbound @ Ritson,-78.846976,0,2,
2712,,43.947746,,2,,2712,,Simcoe Northbound @ Conlin,-78.895601,0,1,
2713,,43.91836021000001,,2,,2713,,Taunton Westbound @ Fallingbrook,-78.944325,0,1,
2718,,43.847742,,2,,2718,,Bayly Eastbound @ Boone,-79.001192,0,1,
272,,43.877058,,2,,272,,Thickson Northbound @ Burns,-78.908542,0,2,
2720,,43.85655100000001,,2,,2720,,Church Southbound @ Sherwood,-79.056518,0,2,
2729,,43.895089,,2,,2729,,Taunton Eastbound @ Harwood,-79.042882,0,1,
2730,,43.8952726,,2,,2730,,Taunton Westbound @ Harwood,-79.0431068,0,2,
2733,,44.09167138,,2,,2733,,Simcoe Northbound @ Greenway,-78.94143037,0,1,
2734,,44.09453,,2,,2734,,Simcoe Northbound @ Vanedward,-78.942667,0,1,
2735,,44.094332,,2,,2735,,Union Southbound @ Major,-78.947175,0,2,
2737,,44.0911351,,2,,2737,,Union Southbound @ Robin Trail,-78.94854315,0,2,
2739,,44.08454,,2,,2739,,King Westbound @ Union,-78.95111799999998,0,2,
274,,43.88211600000001,,2,,274,,Thickson Northbound @ Nichol,-78.910842,0,2,
2740,,44.085418,,2,,2740,,Union Northbound @ Hurd,-78.9509,0,1,
2741,,44.09017,,2,,2741,,Union Northbound @ Josephine,-78.948845,0,1,
2743,,44.094297,,2,,2743,,Union Northbound @ Major,-78.947064,0,1,
2744,,44.094828,,2,,2744,,Simcoe Southbound @ Vanedward,-78.94307499999998,0,1,
2745,,44.09201925,,2,,2745,,Simcoe Southbound @ Greenway,-78.94179818,0,1,
2749,,44.111357,,2,,2749,,Northbound @ 15929 Simcoe St,-78.950491,0,1,
275,,43.884288,,2,,275,,Northbound @ 35 Thickson,-78.911801,0,1,
276,,43.88712300000001,,2,,276,,Thickson Northbound @ Dundas,-78.912944,0,1,
277,,43.88843361,,2,,277,,Thickson Northbound @ Crawforth,-78.91350799999998,0,1,
278,,43.89153000000001,,2,,278,,Thickson Northbound @ Pine Hills,-78.914804,0,1,
279,,43.893721,,2,,279,,Thickson Northbound @ Dalton,-78.915756,0,1,
28,,43.902996,,2,,28,,Garden Southbound @ Kenneth Hobbs,-78.941649,0,1,
281,,43.899509,,2,,281,,Thickson Northbound @ Canadian Oaks,-78.918233,0,1,
283,,43.903729,,2,,283,,Thickson Northbound @ Rossland (South Side Stop),-78.92006499999998,0,1,
29,,43.901353,,2,,29,,Southbound @ 3088 Garden,-78.940938,0,1,
290,,43.916314,,2,,290,,Thickson Northbound @ Bach,-78.925599,0,1,
292,,43.919129,,2,,292,,Thickson Northbound @ Cathedral,-78.9267847,0,2,
293,,43.92320500000001,,2,,293,,Garrard Southbound @ Griffen,-78.917972,0,1,
294,,43.921498,,2,,294,,Garrard Southbound @ Shore,-78.917227,0,1,
295,,43.917352,,2,,295,,Garrard Southbound @ Dryden,-78.91538799999998,0,1,
296,,43.914403,,2,,296,,Garrard Southbound @ Rolling Acres,-78.914092,0,1,
297,,43.9121379,,2,,297,,Garrard Southbound @ Donald Wilson,-78.9130924,0,1,
298,,43.910044,,2,,298,,Garrard Southbound @ Fencerow,-78.912156,0,1,
30,,43.898752,,2,,30,,Garden Southbound @ Rossland (Durham Region Headquarters),-78.93967,0,1,
300,,43.905952,,2,,300,,Garrard Southbound @ Rossland,-78.910619,0,1,
3001,,43.820346,,2,,3001,,Waterford Westbound @ Woodview,-79.144548,0,2,
3004,,43.820443,,2,,3004,,Waterford Eastbound @ Forestview,-79.140253,0,1,
3014,,43.86326600000001,,2,,3014,,Ravenscroft Northbound @ Daniels,-79.046606,0,2,
302,,43.90280914,,2,,302,,Garrard Southbound @ Parkview,-78.90922,0,1,
303,,43.899855,,2,,303,,Garrard Southbound @ Gadsby,-78.907942,0,1,
3038,,43.88831017,,2,,3038,,Salem Southbound @ Thackery,-79.026786,0,2,
3039,,43.888491,,2,,3039,,Salem Northbound @ Gillett,-79.026599,0,2,
304,,43.89760603,,2,,304,,Garrard Southbound @ Manning,-78.906976,0,1,
3041,,43.88440700000001,,2,,3041,,Salem Northbound @ Harper Hill,-79.021938,0,2,
3042,,43.88210500000001,,1,,3042,,Salem Southbound @ Rossland,-79.019056,0,2,
3043,,43.881461,,2,,3043,,Salem Northbound @ Rossland,-79.018414,0,2,
3044,,43.893784,,2,,3044,,Williamson Eastbound @ Kirk,-79.026951,0,1,
3045,,43.894659,,2,,3045,,Williamson Westbound @ Sergeant,-79.026201,0,1,
3048,,43.846466,,1,,3048,,Pickering Beach Northbound @ Bayly,-79.005762,0,1,
3049,,43.849311,,2,,3049,,Salem Northbound @ Lord,-79.006791,0,2,
3052,,43.849663,,2,,3052,,Salem Southbound @ Lord,-79.007221,0,2,
